category,level,hp,reward,cost,damage,dps,ttd_seconds,notes
hero,7,0,0,8,8,0,0.00,ms_mult=1
hero,8,0,0,9,9,0,0.00,ms_mult=1
hero,9,0,0,30,10,0,0.00,ms_mult=1
hero,10,0,0,10,22,0,0.00,ms_mult=2
hero,11,0,0,11,24,0,0.00,ms_mult=2
hero,12,0,0,12,26,0,0.00,ms_mult=2
hero,13,0,0,13,28,0,0.00,ms_mult=2
hero,14,0,0,14,30,0,0.00,ms_mult=2
hero,15,0,0,15,32,0,0.00,ms_mult=2
hero,16,0,0,16,34,0,0.00,ms_mult=2
hero,17,0,0,18,36,0,0.00,ms_mult=2
hero,18,0,0,19,38,0,0.00,ms_mult=2
hero,19,0,0,20,40,0,0.00,ms_mult=2
hero,20,0,0,22,42,0,0.00,ms_mult=2
hero,25,0,0,32,104,0,0.00,ms_mult=4
hero,50,0,0,218,408,0,0.00,ms_mult=8
hero,75,0,0,1488,608,0,0.00,ms_mult=8
hero,100,0,0,10185,1616,0,0.00,ms_mult=16
hero,150,0,0,4590331,2416,0,0.00,ms_mult=16
hero,200,0,0,2069026942,3216,0,0.00,ms_mult=16
hero,250,0,0,932584772844,8032,0,0.00,ms_mult=32
hero,300,0,0,420349460376359,9632,0,0.00,ms_mult=32
hero,350,0,0,189466602912576608,11232,0,0.00,ms_mult=32
hero,400,0,0,9000000000000000000,12832,0,0.00,ms_mult=32
hero,450,0,0,9000000000000000000,14432,0,0.00,ms_mult=32
hero,500,0,0,9000000000000000000,32064,0,0.00,ms_mult=64
partner_static,1,0,0,35,0,4,0.00,partner_name=Partner 1 base_cost=35 cost_at_10=294 cost_at_25=1596 cost_at_50=27096 cost_at_100=7830213 placeholder=false
partner_static,2,0,0,110,0,12,0.00,partner_name=Partner 2 base_cost=110 cost_at_10=918 cost_at_25=5010 cost_at_50=85155 cost_at_100=24609240 placeholder=false
partner_static,3,0,0,300,0,30,0.00,partner_name=Partner 3 base_cost=300 cost_at_10=2496 cost_at_25=13662 cost_at_50=232236 cost_at_100=67116108 placeholder=false
partner_static,4,0,0,750,0,70,0.00,partner_name=Field Scout base_cost=750 cost_at_10=6240 cost_at_25=34152 cost_at_50=580587 cost_at_100=167790267 placeholder=false
partner_static,5,0,0,1700,0,150,0.00,partner_name=Spear Guard base_cost=1700 cost_at_10=14145 cost_at_25=77412 cost_at_50=1315995 cost_at_100=380324604 placeholder=false
partner_static,6,0,0,3800,0,320,0.00,partner_name=Iron Defender base_cost=3800 cost_at_10=31614 cost_at_25=173037 cost_at_50=2941632 cost_at_100=850137348 placeholder=false
partner_static,7,0,0,8500,0,680,0.00,partner_name=Battle Monk base_cost=8500 cost_at_10=70716 cost_at_25=387057 cost_at_50=6579963 cost_at_100=1901623017 placeholder=false
partner_static,8,0,0,19000,0,1450,0.00,partner_name=Elite Samurai base_cost=19000 cost_at_10=158067 cost_at_25=865182 cost_at_50=14708148 cost_at_100=4250686740 placeholder=false
partner_static,9,0,0,43000,0,3100,0.00,partner_name=Shadow Captain base_cost=43000 cost_at_10=357729 cost_at_25=1958046 cost_at_50=33286860 cost_at_100=9619975251 placeholder=false
partner_static,10,0,0,96000,0,6600,0.00,partner_name=War Sage base_cost=96000 cost_at_10=798648 cost_at_25=4371447 cost_at_50=74314851 cost_at_100=21477154044 placeholder=false
partner_static,11,0,0,215000,0,14000,0.00,partner_name=Beast Tamer base_cost=215000 cost_at_10=1788636 cost_at_25=9790218 cost_at_50=166434297 cost_at_100=48099876246 placeholder=false
partner_static,12,0,0,480000,0,30000,0.00,partner_name=Blade Master base_cost=480000 cost_at_10=3993234 cost_at_25=21857226 cost_at_50=371574246 cost_at_100=107385770220 placeholder=false
partner_static,13,0,0,1050000,0,64000,0.00,partner_name=Legendary Commander base_cost=1050000 cost_at_10=8735199 cost_at_25=47812683 cost_at_50=812818659 cost_at_100=234906372357 placeholder=false
partner_static,14,0,0,2300000,0,136000,0.00,partner_name=Silent Ronin base_cost=2300000 cost_at_10=19134246 cost_at_25=104732541 cost_at_50=1780459920 cost_at_100=514556815638 placeholder=true
partner_static,15,0,0,5000000,0,290000,0.00,partner_name=Chakra Archer base_cost=5000000 cost_at_10=41596182 cost_at_25=227679435 cost_at_50=3870565044 cost_at_100=1118601773124 placeholder=true
partner_static,16,0,0,11000000,0,620000,0.00,partner_name=Sand Guardian base_cost=11000000 cost_at_10=91511601 cost_at_25=500894757 cost_at_50=8515243095 cost_at_100=2460923900874 placeholder=true
partner_static,17,0,0,24000000,0,1320000,0.00,partner_name=Mist Duelist base_cost=24000000 cost_at_10=199661673 cost_at_25=1092861285 cost_at_50=18578712204 cost_at_100=5369288510994 placeholder=true
partner_static,18,0,0,52000000,0,2800000,0.00,partner_name=Lightning Striker base_cost=52000000 cost_at_10=432600288 cost_at_25=2367866115 cost_at_50=40253876442 cost_at_100=11633458440483 placeholder=true
partner_static,19,0,0,115000000,0,6000000,0.00,partner_name=Puppet Tactician base_cost=115000000 cost_at_10=956712174 cost_at_25=5236626984 cost_at_50=89022995976 cost_at_100=25727840781837 placeholder=true
partner_static,20,0,0,250000000,0,12800000,0.00,partner_name=Seal Specialist base_cost=250000000 cost_at_10=2079809070 cost_at_25=11383971702 cost_at_50=193528252119 cost_at_100=55930088656164 placeholder=true
partner_static,21,0,0,550000000,0,27000000,0.00,partner_name=Medical Ninja base_cost=550000000 cost_at_10=4575579951 cost_at_25=25044737742 cost_at_50=425762154663 cost_at_100=123046195043559 placeholder=true
partner_static,22,0,0,1200000000,0,58000000,0.00,partner_name=Shadow Tracker base_cost=1200000000 cost_at_10=9983083527 cost_at_25=54643064166 cost_at_50=928935610170 cost_at_100=268464425549580 placeholder=true
partner_static,23,0,0,2600000000,0,123000000,0.00,partner_name=Summon Handler base_cost=2600000000 cost_at_10=21630014310 cost_at_25=118393305690 cost_at_50=2012693822031 cost_at_100=581672922024090 placeholder=true
partner_static,24,0,0,5700000000,0,260000000,0.00,partner_name=Barrier Keeper base_cost=5700000000 cost_at_10=47419646754 cost_at_25=259554554781 cost_at_50=4412444148300 cost_at_100=1275206021360499 placeholder=true
partner_static,25,0,0,12500000000,0,550000000,0.00,partner_name=War Strategist base_cost=12500000000 cost_at_10=103990453407 cost_at_25=569198585046 cost_at_50=9676412605917 cost_at_100=2796504432808113 placeholder=true
partner_static,26,0,0,27000000000,0,1160000000,0.00,partner_name=Sage Disciple base_cost=27000000000 cost_at_10=224619379356 cost_at_25=1229468943696 cost_at_50=20901051228777 cost_at_100=6040449574865520 placeholder=true
partner_static,27,0,0,59000000000,0,2450000000,0.00,partner_name=Anbu Captain base_cost=59000000000 cost_at_10=490834940070 cost_at_25=2686617321408 cost_at_50=45672667499922 cost_at_100=13199500922854284 placeholder=true
partner_static,28,0,0,130000000000,0,5200000000,0.00,partner_name=Legendary Sannin base_cost=130000000000 cost_at_10=1081500715407 cost_at_25=5919665284458 cost_at_50=100634691101520 cost_at_100=29083646101204356 placeholder=true
combat,1,18,4,0,2,0,1.50,boss_sec=30.0 feasible=true
combat,5,34,7,0,6,0,1.00,boss_sec=19.0 feasible=true
combat,10,101,15,0,22,0,0.83,boss_sec=15.3 feasible=true
combat,15,291,33,0,32,0,1.67,boss_sec=30.3 feasible=false
combat,20,820,71,0,42,0,3.33,boss_sec=65.2 feasible=false
combat,25,2253,154,0,104,0,3.67,boss_sec=72.3 feasible=false
combat,30,5436,292,0,124,0,7.33,boss_sec=146.2 feasible=false
combat,40,35445,1204,0,164,0,36.17,boss_sec=720.5 feasible=false
combat,50,246454,5140,0,408,0,100.83,boss_sec=2013.7 feasible=false
combat,75,25784829,168854,0,608,0,7068.33,boss_sec=141364.3 feasible=false
combat,100,2168137759,4482177,0,1616,0,223611.67,boss_sec=4472231.5 feasible=false
combat,150,865318389869,230154028,0,2416,0,59693597.67,boss_sec=1193871950.8 feasible=false
prestige_stage,50,0,0,0,0,0,0.00,stage_pts=0
prestige_stage,99,0,0,0,0,0,0.00,stage_pts=0
prestige_stage,100,0,1,0,0,0,0.00,stage_pts=1
prestige_stage,199,0,1,0,0,0,0.00,stage_pts=1
prestige_stage,200,0,2,0,0,0,0.00,stage_pts=2
prestige_char,100,0,0,0,0,0,0.00,char_pts=0
prestige_char,199,0,0,0,0,0,0.00,char_pts=0
prestige_char,200,0,1,0,0,0,0.00,char_pts=1
prestige_char,399,0,1,0,0,0,0.00,char_pts=1
prestige_char,400,0,2,0,0,0,0.00,char_pts=2
prestige_talent_cost,1,0,0,2,0,0,0.00,copy=1 cost=2
prestige_talent_cost,2,0,0,3,0,0,0.00,copy=2 cost=3
prestige_talent_cost,3,0,0,5,0,0,0.00,copy=3 cost=5
prestige_talent_cost,4,0,0,7,0,0,0.00,copy=4 cost=7
prestige_talent_cost,5,0,0,11,0,0,0.00,copy=5 cost=11
prestige_talent_bonus,1,0,0,0,25,0,0.00,talent=Focus Training effect_type=click_damage per_copy=25
prestige_talent_bonus,2,0,0,0,50,0,0.00,talent=Trade Routes effect_type=gold per_copy=50
prestige_talent_bonus,3,0,0,0,25,0,0.00,talent=Command Aura effect_type=partner_dps per_copy=25
prestige_talent_bonus,4,0,0,0,5,0,0.00,talent=Quick Hands effect_type=autoclick_rate per_copy=5
prestige_talent_bonus,5,0,0,0,5,0,0.00,talent=Builder Wisdom effect_type=settlement_effect per_copy=5
prestige_talent_bonus,6,0,0,0,25,0,0.00,talent=Boss Hunter effect_type=boss_damage per_copy=25
simulation_active_6cps,1,18,4,0,2,12,1.50,profile_id=active_6cps sim_time=0 hero=1 gold=0 click_damage=2 manual_dps=12 partner_dps=0 ability_dps=0 total_dps=12 prestige_rwd=0 total_hero_purchases=0 total_partner_purchases=0 total_building_purchases=0 total_ability_purchases=0 total_skill_purchases=0 last_purchase=none ability_events=none
simulation_active_6cps,3,0,0,30,22,132,0.00,event=purchase profile_id=active_6cps sim_time=12 purchase_type=hero purchase_id=hero_level old_val=9 new_val=10 gold_after=9 hero_level=10 total_dps=132
simulation_active_6cps,3,0,0,10,28,168,0.00,event=purchase profile_id=active_6cps sim_time=14 purchase_type=hero purchase_id=hero_level old_val=10 new_val=11 gold_after=6 hero_level=13 total_dps=168
simulation_active_6cps,5,680,105,15,34,204,3.33,profile_id=active_6cps sim_time=16 hero=16 gold=39 click_damage=34 manual_dps=204 partner_dps=0 ability_dps=0 total_dps=204 prestige_rwd=0 total_hero_purchases=15 total_partner_purchases=0 total_building_purchases=0 total_ability_purchases=0 total_skill_purchases=0 last_purchase=hero#hero_level ability_events=none
simulation_active_6cps,6,0,0,120,72,432,0.00,event=purchase profile_id=active_6cps sim_time=19 purchase_type=hero_skill purchase_id=hero_click_damage_1 old_val=0 new_val=1 gold_after=8 hero_level=17 total_dps=432
simulation_active_6cps,6,0,0,20,88,528,0.00,event=purchase profile_id=active_6cps sim_time=20 purchase_type=hero purchase_id=hero_level old_val=19 new_val=20 gold_after=9 hero_level=21 total_dps=528
simulation_active_6cps,8,0,0,90,216,1296,0.00,event=purchase profile_id=active_6cps sim_time=22 purchase_type=hero purchase_id=hero_level old_val=24 new_val=25 gold_after=11 hero_level=26 total_dps=1296
simulation_active_6cps,10,2020,225,32,216,1296,1.56,profile_id=active_6cps sim_time=23 hero=26 gold=189 click_damage=216 manual_dps=1296 partner_dps=0 ability_dps=0 total_dps=1296 prestige_rwd=0 total_hero_purchases=25 total_partner_purchases=0 total_building_purchases=0 total_ability_purchases=0 total_skill_purchases=1 last_purchase=hero#hero_level ability_events=none
simulation_active_6cps,11,0,0,300,240,1440,0.00,event=purchase profile_id=active_6cps sim_time=25 purchase_type=ability purchase_id=autoclick old_val=0 new_val=1 gold_after=2 hero_level=29 total_dps=1440
simulation_active_6cps,11,0,0,40,240,1440,0.00,event=purchase profile_id=active_6cps sim_time=25 purchase_type=hero purchase_id=hero_level old_val=28 new_val=29 gold_after=2 hero_level=29 total_dps=1440
simulation_active_6cps,14,0,0,300,304,8820,0.00,event=purchase profile_id=active_6cps sim_time=26 purchase_type=ability_skill purchase_id=autoclick_rank_1 old_val=0 new_val=1 gold_after=1 hero_level=37 total_dps=8820
simulation_active_6cps,14,0,0,35,304,8820,0.00,event=purchase profile_id=active_6cps sim_time=26 purchase_type=partner purchase_id=partner_0 old_val=0 new_val=1 gold_after=1 hero_level=37 total_dps=8820
simulation_active_6cps,15,5820,495,35,304,8820,0.66,profile_id=active_6cps sim_time=26 hero=37 gold=204 click_damage=304 manual_dps=1824 partner_dps=4 ability_dps=6991 total_dps=8820 prestige_rwd=0 total_hero_purchases=36 total_partner_purchases=1 total_building_purchases=0 total_ability_purchases=1 total_skill_purchases=2 last_purchase=partner#partner_0 ability_events=none
simulation_active_6cps,16,0,0,110,360,10456,0.00,event=purchase profile_id=active_6cps sim_time=27 purchase_type=partner purchase_id=partner_1 old_val=0 new_val=1 gold_after=14 hero_level=44 total_dps=10456
simulation_active_6cps,18,0,0,900,368,11796,0.00,event=purchase profile_id=active_6cps sim_time=28 purchase_type=ability_skill purchase_id=autoclick_rank_2 old_val=0 new_val=1 gold_after=8 hero_level=45 total_dps=11796
simulation_active_6cps,18,0,0,137,368,11796,0.00,event=purchase profile_id=active_6cps sim_time=28 purchase_type=hero purchase_id=hero_level old_val=44 new_val=45 gold_after=8 hero_level=45 total_dps=11796
simulation_active_6cps,20,16400,1065,40,368,11796,1.39,profile_id=active_6cps sim_time=29 hero=45 gold=996 click_damage=368 manual_dps=2208 partner_dps=20 ability_dps=9568 total_dps=11796 prestige_rwd=0 total_hero_purchases=44 total_partner_purchases=3 total_building_purchases=0 total_ability_purchases=1 total_skill_purchases=3 last_purchase=partner#partner_0 ability_events=none
simulation_active_6cps,21,0,0,606,864,27672,0.00,event=purchase profile_id=active_6cps sim_time=30 purchase_type=hero purchase_id=hero_level old_val=49 new_val=50 gold_after=36 hero_level=53 total_dps=27672
simulation_active_6cps,21,0,0,44,864,27672,0.00,event=purchase profile_id=active_6cps sim_time=30 purchase_type=partner purchase_id=partner_0 old_val=2 new_val=3 gold_after=36 hero_level=53 total_dps=27672
simulation_active_6cps,24,0,0,469,1024,32854,0.00,event=purchase profile_id=active_6cps sim_time=32 purchase_type=hero purchase_id=hero_level old_val=60 new_val=61 gold_after=12 hero_level=63 total_dps=32854
simulation_active_6cps,24,0,0,300,1024,32854,0.00,event=purchase profile_id=active_6cps sim_time=32 purchase_type=partner purchase_id=partner_2 old_val=0 new_val=1 gold_after=12 hero_level=63 total_dps=32854
simulation_active_6cps,25,45060,2310,56,1024,32854,1.37,profile_id=active_6cps sim_time=32 hero=63 gold=150 click_damage=1024 manual_dps=6144 partner_dps=86 ability_dps=26624 total_dps=32854 prestige_rwd=0 total_hero_purchases=62 total_partner_purchases=9 total_building_purchases=0 total_ability_purchases=1 total_skill_purchases=3 last_purchase=partner#partner_0 ability_events=none
simulation_active_6cps,26,0,0,2100,1024,35956,0.00,event=purchase profile_id=active_6cps sim_time=33 purchase_type=ability_skill purchase_id=autoclick_rank_3 old_val=0 new_val=1 gold_after=23 hero_level=63 total_dps=35956
simulation_active_6cps,27,0,0,630,1034,36422,0.00,event=purchase profile_id=active_6cps sim_time=34 purchase_type=hero_skill purchase_id=hero_partner_dps_1 old_val=0 new_val=1 gold_after=15 hero_level=63 total_dps=36422
simulation_active_6cps,27,0,0,1200,1034,36422,0.00,event=purchase profile_id=active_6cps sim_time=34 purchase_type=ability purchase_id=gold_bonus old_val=0 new_val=1 gold_after=15 hero_level=63 total_dps=36422
simulation_active_6cps,27,0,0,500,1034,36422,0.00,event=purchase profile_id=active_6cps sim_time=34 purchase_type=building purchase_id=building_2 old_val=0 new_val=1 gold_after=15 hero_level=63 total_dps=36422
simulation_active_6cps,28,0,0,1200,1115,39273,0.00,event=purchase profile_id=active_6cps sim_time=35 purchase_type=ability_skill purchase_id=gold_bonus_rank_1 old_val=0 new_val=1 gold_after=9 hero_level=68 total_dps=39273
simulation_active_6cps,29,0,0,5000,1115,39341,0.00,event=purchase profile_id=active_6cps sim_time=37 purchase_type=ability purchase_id=focus_burst old_val=0 new_val=1 gold_after=53 hero_level=68 total_dps=39341
simulation_active_6cps,29,0,0,377,1115,39341,0.00,event=purchase profile_id=active_6cps sim_time=37 purchase_type=partner purchase_id=partner_2 old_val=2 new_val=3 gold_after=53 hero_level=68 total_dps=39341
simulation_active_6cps,30,108720,4380,78,2230,78366,1.39,profile_id=active_6cps sim_time=37 hero=68 gold=4211 click_damage=2230 manual_dps=13380 partner_dps=316 ability_dps=64670 total_dps=78366 prestige_rwd=0 total_hero_purchases=67 total_partner_purchases=14 total_building_purchases=1 total_ability_purchases=3 total_skill_purchases=6 last_purchase=partner#partner_0 ability_events=use_focus_burst
simulation_active_6cps,31,0,0,5000,2808,98652,0.00,event=purchase profile_id=active_6cps sim_time=39 purchase_type=ability_skill purchase_id=focus_burst_rank_1 old_val=0 new_val=1 gold_after=18 hero_level=74 total_dps=98652
simulation_active_6cps,31,0,0,610,2808,98652,0.00,event=purchase profile_id=active_6cps sim_time=39 purchase_type=building purchase_id=building_2 old_val=1 new_val=2 gold_after=18 hero_level=74 total_dps=98652
simulation_active_6cps,31,0,0,745,2808,98652,0.00,event=purchase profile_id=active_6cps sim_time=39 purchase_type=building purchase_id=building_2 old_val=2 new_val=3 gold_after=18 hero_level=74 total_dps=98652
simulation_active_6cps,31,0,0,908,2808,98652,0.00,event=purchase profile_id=active_6cps sim_time=39 purchase_type=building purchase_id=building_2 old_val=3 new_val=4 gold_after=18 hero_level=74 total_dps=98652
simulation_active_6cps,32,0,0,500,3538,21736,0.00,event=purchase profile_id=active_6cps sim_time=40 purchase_type=building purchase_id=building_3 old_val=0 new_val=1 gold_after=33 hero_level=77 total_dps=21736
simulation_active_6cps,32,0,0,500,3538,21736,0.00,event=purchase profile_id=active_6cps sim_time=40 purchase_type=building purchase_id=building_4 old_val=0 new_val=1 gold_after=33 hero_level=77 total_dps=21736
simulation_active_6cps,32,0,0,1108,3538,21736,0.00,event=purchase profile_id=active_6cps sim_time=40 purchase_type=building purchase_id=building_2 old_val=4 new_val=5 gold_after=33 hero_level=77 total_dps=21736
simulation_active_6cps,32,0,0,294,3538,21736,0.00,event=purchase profile_id=active_6cps sim_time=40 purchase_type=partner purchase_id=partner_0 old_val=9 new_val=10 gold_after=33 hero_level=77 total_dps=21736
simulation_active_6cps,32,0,0,1176,3538,21736,0.00,event=purchase profile_id=active_6cps sim_time=40 purchase_type=partner_skill purchase_id=p0_s1 old_val=0 new_val=1 gold_after=33 hero_level=77 total_dps=21736
simulation_active_6cps,32,0,0,610,3538,21736,0.00,event=purchase profile_id=active_6cps sim_time=40 purchase_type=building purchase_id=building_3 old_val=1 new_val=2 gold_after=33 hero_level=77 total_dps=21736
simulation_active_6cps,32,0,0,610,3538,21736,0.00,event=purchase profile_id=active_6cps sim_time=40 purchase_type=building purchase_id=building_4 old_val=1 new_val=2 gold_after=33 hero_level=77 total_dps=21736
simulation_active_6cps,32,0,0,745,3538,21736,0.00,event=purchase profile_id=active_6cps sim_time=40 purchase_type=building purchase_id=building_3 old_val=2 new_val=3 gold_after=33 hero_level=77 total_dps=21736
simulation_active_6cps,32,0,0,1352,3571,22074,0.00,event=purchase profile_id=active_6cps sim_time=41 purchase_type=building purchase_id=building_2 old_val=5 new_val=6 gold_after=33 hero_level=77 total_dps=22074
simulation_active_6cps,32,0,0,745,3571,22074,0.00,event=purchase profile_id=active_6cps sim_time=41 purchase_type=building purchase_id=building_4 old_val=2 new_val=3 gold_after=33 hero_level=77 total_dps=22074
simulation_active_6cps,32,0,0,750,3571,22074,0.00,event=purchase profile_id=active_6cps sim_time=41 purchase_type=partner purchase_id=partner_3 old_val=0 new_val=1 gold_after=33 hero_level=77 total_dps=22074
simulation_active_6cps,32,0,0,908,3617,22374,0.00,event=purchase profile_id=active_6cps sim_time=42 purchase_type=building purchase_id=building_3 old_val=3 new_val=4 gold_after=43 hero_level=78 total_dps=22374
simulation_active_6cps,33,0,0,908,3663,22674,0.00,event=purchase profile_id=active_6cps sim_time=44 purchase_type=building purchase_id=building_4 old_val=3 new_val=4 gold_after=3 hero_level=79 total_dps=22674
simulation_active_6cps,33,0,0,1108,3709,22950,0.00,event=purchase profile_id=active_6cps sim_time=45 purchase_type=building purchase_id=building_3 old_val=4 new_val=5 gold_after=57 hero_level=80 total_dps=22950
simulation_active_6cps,33,0,0,1649,3744,23220,0.00,event=purchase profile_id=active_6cps sim_time=46 purchase_type=building purchase_id=building_2 old_val=6 new_val=7 gold_after=64 hero_level=80 total_dps=23220
simulation_active_6cps,33,0,0,1108,3744,23220,0.00,event=purchase profile_id=active_6cps sim_time=46 purchase_type=building purchase_id=building_4 old_val=4 new_val=5 gold_after=64 hero_level=80 total_dps=23220
simulation_active_6cps,34,0,0,3600,3790,23652,0.00,event=purchase profile_id=active_6cps sim_time=49 purchase_type=ability_skill purchase_id=gold_bonus_rank_2 old_val=0 new_val=1 gold_after=20 hero_level=81 total_dps=23652
simulation_active_6cps,34,0,0,1700,1684,11456,0.00,event=purchase profile_id=active_6cps sim_time=51 purchase_type=partner purchase_id=partner_4 old_val=0 new_val=1 gold_after=9 hero_level=81 total_dps=11456
simulation_active_6cps,34,0,0,244,1684,11620,0.00,event=purchase profile_id=active_6cps sim_time=52 purchase_type=partner purchase_id=partner_1 old_val=7 new_val=8 gold_after=26 hero_level=81 total_dps=11620
simulation_active_6cps,36,0,0,918,1684,13572,0.00,event=purchase profile_id=active_6cps sim_time=78 purchase_type=partner purchase_id=partner_1 old_val=9 new_val=10 gold_after=77 hero_level=81 total_dps=13572
simulation_active_6cps,36,0,0,3672,1684,13572,0.00,event=purchase profile_id=active_6cps sim_time=78 purchase_type=partner_skill purchase_id=p1_s1 old_val=0 new_val=1 gold_after=77 hero_level=81 total_dps=13572
simulation_active_6cps,36,0,0,383,1684,13572,0.00,event=purchase profile_id=active_6cps sim_time=78 purchase_type=partner purchase_id=partner_1 old_val=11 new_val=12 gold_after=77 hero_level=81 total_dps=13572
simulation_active_6cps,36,0,0,3800,1684,13572,0.00,event=purchase profile_id=active_6cps sim_time=78 purchase_type=partner purchase_id=partner_5 old_val=0 new_val=1 gold_after=77 hero_level=81 total_dps=13572
simulation_active_6cps,36,0,0,500,1684,13622,0.00,event=purchase profile_id=active_6cps sim_time=79 purchase_type=building purchase_id=building_0 old_val=0 new_val=1 gold_after=164 hero_level=81 total_dps=13622
simulation_active_6cps,36,0,0,610,1684,13853,0.00,event=purchase profile_id=active_6cps sim_time=84 purchase_type=building purchase_id=building_0 old_val=1 new_val=2 gold_after=24 hero_level=81 total_dps=13853
simulation_active_6cps,36,0,0,745,1684,13964,0.00,event=purchase profile_id=active_6cps sim_time=86 purchase_type=building purchase_id=building_0 old_val=2 new_val=3 gold_after=162 hero_level=81 total_dps=13964
simulation_active_6cps,36,0,0,908,1684,14139,0.00,event=purchase profile_id=active_6cps sim_time=91 purchase_type=building purchase_id=building_0 old_val=3 new_val=4 gold_after=171 hero_level=81 total_dps=14139
simulation_active_6cps,37,0,0,302,1684,14401,0.00,event=purchase profile_id=active_6cps sim_time=97 purchase_type=partner purchase_id=partner_0 old_val=19 new_val=20 gold_after=1 hero_level=81 total_dps=14401
simulation_active_6cps,37,0,0,500,1684,14580,0.00,event=purchase profile_id=active_6cps sim_time=101 purchase_type=building purchase_id=building_1 old_val=0 new_val=1 gold_after=28 hero_level=81 total_dps=14580
simulation_active_6cps,37,0,0,610,1684,14580,0.00,event=purchase profile_id=active_6cps sim_time=103 purchase_type=building purchase_id=building_1 old_val=1 new_val=2 gold_after=295 hero_level=81 total_dps=14580
simulation_active_6cps,37,0,0,1108,1684,14623,0.00,event=purchase profile_id=active_6cps sim_time=104 purchase_type=building purchase_id=building_0 old_val=4 new_val=5 gold_after=73 hero_level=81 total_dps=14623
simulation_active_6cps,37,0,0,745,1684,14623,0.00,event=purchase profile_id=active_6cps sim_time=106 purchase_type=building purchase_id=building_1 old_val=2 new_val=3 gold_after=214 hero_level=81 total_dps=14623
